ID,Unnamed: 0.1,ID_img,timestamp,x,y,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,date,typename,subcategory,detail,Measurement,note,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
193,300,26,103500.4,590783.1855,6136672.138,4,11,1,23.496,M,39.415,M,1.4,0000*7E,,Light Fixture,Standing,,GNSS,,,,1034152928,,
194,315,15,104101.5,590757.1809,6136671.357,4,12,0.9,23.519,M,39.415,M,1.5,0000*7A,,Light Fixture,Standing,,GNSS,,,,1103668986,,
195,320,10,104253.7,590758.1812,6136659.283,4,11,1.2,23.5,M,39.415,M,1.7,0000*74,,Light Fixture,Standing,,GNSS,,,,1103669248,,
196,304,1,103654.15,590780.5189,6136655.155,4,12,1.3,23.679,M,39.415,M,1.1,0000*7F,,Light Fixture,Standing,,GNSS,,,,,,
197,293,0,103047.45,590802.3145,6136656.916,4,12,0.9,23.347,M,39.415,M,2.5,0000*77,,Light Fixture,Standing,,GNSS,Second validation from here,,,1103669411,,
198,566,583,130149.7,590708.8932,6136781.449,4,8,2,23.256,M,39.413,M,0.7,0013*7D,,Fuse Box,,,GNSS,,,,,,
199,563,580,130035.4,590709.1979,6136802.031,4,8,2.2,23.645,M,39.413,M,1.4,0013*75,,Fuse Box,,,GNSS,,,,,,
200,517,533,123200.6,590800.5436,6136701.502,4,10,1.1,22.37,M,39.413,M,0.6,0013*78,,Downspout Grille,,,GNSS,,,,,,
201,436,452,115643.65,590680.2182,6136735.936,4,13,0.8,23.39,M,39.413,M,1.6,0013*7D,,Downspout Grille,,,GNSS,,,,,,
202,539,286,125034.1,590714.6397,6136817.62,4,10,1.9,22.766,M,39.413,M,1.1,0013*79,,Downspout Grille,Square,,GNSS,,,,1210521229,,
203,541,284,125114,590733.9486,6136819.351,4,10,1.2,22.698,M,39.413,M,1,0013*72,,Downspout Grille,Square,,GNSS,,,,1202730954,,
204,543,282,125157.05,590753.1865,6136821.11,4,8,2.3,22.752,M,39.413,M,2,0013*7A,,Downspout Grille,Square,,GNSS,,,,1202730953,,
205,545,280,125234.55,590772.6658,6136823.062,4,8,1.4,22.726,M,39.413,M,1.5,0013*71,,Downspout Grille,Square,,GNSS,,,,1202730952,,
206,525,272,124337.25,590732.1562,6136839.273,4,13,0.8,23.295,M,39.413,M,1.3,0013*72,,Downspout Grille,Square,,GNSS,,,,,,
207,527,270,124427.1,590712.8475,6136837.323,4,8,1.9,22.389,M,39.413,M,1.1,0013*70,,Downspout Grille,Square,,GNSS,,,,1210521228,,
208,528,267,124515.1,590698.9015,6136820.144,4,6,2.7,22.16,M,39.413,M,1.1,0013*7D,,Downspout Grille,Square,,GNSS,,,,,,
209,530,266,124556.95,590700.3451,6136805.313,4,8,2,22.264,M,39.413,M,2,0013*7B,,Downspout Grille,Square,,GNSS,,,,,,
210,531,264,124654.7,590701.7778,6136790.268,4,8,2.5,22.327,M,39.413,M,0.7,0013*7F,,Downspout Grille,Square,,GNSS,,,,,,
211,533,259,124733.45,590702.9987,6136776.706,4,8,1.5,22.322,M,39.413,M,1.5,0013*73,,Downspout Grille,Square,,GNSS,,,,,,
212,574,252,130601.05,590793.3525,6136779.708,4,9,1.7,22.3,M,39.413,M,1,0013*72,,Downspout Grille,Round,,GNSS,,,,,,
213,534,245,124802.05,590704.4875,6136761.926,4,8,1.9,22.277,M,39.413,M,1,0013*77,,Downspout Grille,Square,,GNSS,,,,,,
214,536,243,124838.85,590705.6101,6136750.281,4,9,1.2,22.344,M,39.413,M,1.9,0013*72,,Downspout Grille,Square,,GNSS,,,,,,
215,537,242,124857.8,590704.4605,6136746.865,4,10,1.3,22.42,M,39.413,M,1.8,0013*7A,,Downspout Grille,Square,,GNSS,,,,1034152747,,
216,437,240,115729.2,590707.846,6136735.301,4,15,0.8,23.367,M,39.413,M,1.2,0013*7E,,Downspout Grille,Square,,GNSS,,,,1034152749,,
217,456,229,120812.05,590786.1734,6136729.494,4,11,1.2,22.35,M,39.413,M,2,0013*7F,,Downspout Grille,Square,,GNSS,,,,1034152762,,
218,455,228,120755.4,590785.885,6136731.74,4,13,0.8,22.459,M,39.413,M,1.4,0013*73,,Downspout Grille,Square,,GNSS,,,,1034152763,,
219,449,222,120546.7,590768.2119,6136727.744,4,14,0.8,23.385,M,39.413,M,1.7,0013*7F,,Downspout Grille,Square,,GNSS,,,,,,
220,450,221,120619.15,590768.2133,6136730.049,4,14,0.8,23.276,M,39.413,M,1.1,0013*71,,Downspout Grille,Square,,GNSS,,,,,,
221,448,220,120506.25,590753.8315,6136726.377,4,14,0.8,23.363,M,39.413,M,1.3,0013*71,,Downspout Grille,Square,,GNSS,,,,1034152756,,
222,447,219,120440.6,590753.4856,6136728.551,4,14,0.8,23.376,M,39.413,M,1.6,0013*74,,Downspout Grille,Square,,GNSS,,,,,,
