i,time,message,,lat_nmea,,lon_nmea,,,,,,,,,,
980,1619169035.8400342,$GPGGA,125946.75,5523.66424056,N,01023.06553148,E,2,09,1.1,10.920,M,39.466,M,1.8,0026*76
981,1619169036.4445872,$GPGGA,125946.75,5523.66424056,N,01023.06553148,E,2,09,1.1,10.920,M,39.466,M,1.8,0026*76
982,1619169036.9828234,$GPGGA,125946.75,5523.66424056,N,01023.06553148,E,2,09,1.1,10.920,M,39.466,M,1.8,0026*76
983,1619169037.521767,$GPGGA,125946.75,5523.66424056,N,01023.06553148,E,2,09,1.1,10.920,M,39.466,M,1.8,0026*76
984,1619169038.061306,$GPGGA,125946.75,5523.66424056,N,01023.06553148,E,2,09,1.1,10.920,M,39.466,M,1.8,0026*76
985,1619169038.6000447,$GPGGA,125946.75,5523.66424056,N,01023.06553148,E,2,09,1.1,10.920,M,39.466,M,1.8,0026*76
986,1619169039.1396372,$GPGGA,125946.75,5523.66424056,N,01023.06553148,E,2,09,1.1,10.920,M,39.466,M,1.8,0026*76
987,1619169039.5407457,$GPGGA,125946.75,5523.66424056,N,01023.06553148,E,2,09,1.1,10.920,M,39.466,M,1.8,0026*76
988,1619169040.2813106,$GPGGA,125946.75,5523.66424056,N,01023.06553148,E,2,09,1.1,10.920,M,39.466,M,1.8,0026*76
989,1619169040.756078,$GPGGA,125946.75,5523.66424056,N,01023.06553148,E,2,09,1.1,10.920,M,39.466,M,1.8,0026*76
990,1619169041.2220914,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
991,1619169041.8376389,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
992,1619169042.3729663,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
993,1619169042.9046392,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
994,1619169043.3785925,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
995,1619169043.9835079,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
996,1619169044.5213122,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
997,1619169045.0603511,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
998,1619169045.5347462,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
999,1619169046.138437,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
1000,1619169046.6129231,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
1001,1619169047.2167566,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
1002,1619169047.7557895,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
1003,1619169048.2217705,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
1004,1619169048.833061,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
1005,1619169049.2353122,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
1006,1619169049.9040549,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
1007,1619169050.4434783,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
1008,1619169050.9822066,$GPGGA,125954.80,5523.66249513,N,01023.07327231,E,2,10,0.9,12.809,M,39.466,M,0.8,0026*77
1009,1619169051.5202663,$GPGGA,130004.80,5523.66064936,N,01023.08358991,E,5,06,2.2,12.659,M,39.466,M,1.8,0026*7C
1010,1619169052.0594625,$GPGGA,130004.80,5523.66064936,N,01023.08358991,E,5,06,2.2,12.659,M,39.466,M,1.8,0026*7C
1011,1619169052.5339103,$GPGGA,130004.80,5523.66064936,N,01023.08358991,E,5,06,2.2,12.659,M,39.466,M,1.8,0026*7C
1012,1619169053.137658,$GPGGA,130004.80,5523.66064936,N,01023.08358991,E,5,06,2.2,12.659,M,39.466,M,1.8,0026*7C
1013,1619169053.6038668,$GPGGA,130004.80,5523.66064936,N,01023.08358991,E,5,06,2.2,12.659,M,39.466,M,1.8,0026*7C
1014,1619169054.2153215,$GPGGA,130004.80,5523.66064936,N,01023.08358991,E,5,06,2.2,12.659,M,39.466,M,1.8,0026*7C
1015,1619169054.7553186,$GPGGA,130004.80,5523.66064936,N,01023.08358991,E,5,06,2.2,12.659,M,39.466,M,1.8,0026*7C
1016,1619169055.2939107,$GPGGA,130004.80,5523.66064936,N,01023.08358991,E,5,06,2.2,12.659,M,39.466,M,1.8,0026*7C
1017,1619169055.824272,$GPGGA,130004.80,5523.66064936,N,01023.08358991,E,5,06,2.2,12.659,M,39.466,M,1.8,0026*7C
1018,1619169056.3641295,$GPGGA,130004.80,5523.66064936,N,01023.08358991,E,5,06,2.2,12.659,M,39.466,M,1.8,0026*7C
1019,1619169056.9033692,$GPGGA,130004.80,5523.66064936,N,01023.08358991,E,5,06,2.2,12.659,M,39.466,M,1.8,0026*7C
1020,1619169057.6425374,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1021,1619169058.1179924,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1022,1619169058.7933397,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1023,1619169059.325199,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1024,1619169059.8637538,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1025,1619169060.4024422,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1026,1619169060.9414868,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1027,1619169061.4803123,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1028,1619169062.019879,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1029,1619169062.559049,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1030,1619169062.9605818,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1031,1619169063.638679,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1032,1619169064.4409502,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1033,1619169064.91538,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1034,1619169065.519279,$GPGGA,130010.95,5523.65982635,N,01023.09046705,E,4,05,2.2,14.951,M,39.466,M,0.9,0026*7E
1035,1619169066.0584104,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1036,1619169066.5986876,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1037,1619169067.1367142,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1038,1619169067.538624,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1039,1619169068.077203,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1040,1619169068.7534595,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1041,1619169069.284638,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1042,1619169069.8236823,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1043,1619169070.096585,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1044,1619169070.6360025,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1045,1619169071.0377553,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1046,1619169071.7139258,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1047,1619169072.2530193,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1048,1619169072.6551552,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1049,1619169073.3230622,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1050,1619169073.8618906,$GPGGA,130019.40,5523.65996727,N,01023.09975009,E,5,05,3.8,11.961,M,39.466,M,1.4,0026*7A
1051,1619169074.4772084,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1052,1619169075.0163777,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1053,1619169075.4822173,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1054,1619169076.0941913,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1055,1619169076.6341555,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1056,1619169077.035115,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1057,1619169077.7038817,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1058,1619169078.1774042,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1059,1619169078.7813473,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1060,1619169079.3927264,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1061,1619169079.7221606,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1062,1619169080.399131,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1063,1619169080.8728955,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1064,1619169081.4760585,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1065,1619169081.9424207,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1066,1619169082.481958,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1067,1619169083.0943599,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1068,1619169083.5597003,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1069,1619169084.0985243,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1070,1619169084.7029421,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1071,1619169085.1771364,$GPGGA,130028.00,5523.66029918,N,01023.10930989,E,4,06,2.2,13.066,M,39.466,M,1.0,0026*79
1072,1619169085.6431768,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1073,1619169086.319667,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1074,1619169086.7938411,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1075,1619169087.3985648,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1076,1619169087.7370603,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1077,1619169088.2020433,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1078,1619169088.7410767,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1079,1619169089.2803257,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1080,1619169089.8198245,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1081,1619169090.2212005,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1082,1619169090.6256914,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1083,1619169091.1625636,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1084,1619169091.7017617,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1085,1619169092.2408864,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1086,1619169092.7152452,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1087,1619169093.3188705,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1088,1619169093.7932158,$GPGGA,130039.45,5523.66214655,N,01023.12168081,E,4,05,2.3,12.777,M,39.466,M,5.4,0026*70
1089,1619169094.3967834,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1090,1619169094.936276,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1091,1619169095.474998,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1092,1619169096.0137587,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1093,1619169096.5532138,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1094,1619169097.0841196,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1095,1619169097.623138,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1096,1619169098.1624076,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1097,1619169098.7014294,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1098,1619169099.2403457,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1099,1619169099.7794228,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1100,1619169100.3227246,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1101,1619169100.7199092,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1102,1619169101.3966017,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1103,1619169101.7345638,$GPGGA,130047.90,5523.66224793,N,01023.12976299,E,5,05,3.3,12.270,M,39.466,M,0.9,0026*7F
1104,1619169102.2734919,$GPGGA,130055.80,5523.66647693,N,01023.13869830,E,2,11,0.9,17.670,M,39.466,M,0.8,0026*71
1105,1619169102.7404406,$GPGGA,130055.80,5523.66647693,N,01023.13869830,E,2,11,0.9,17.670,M,39.466,M,0.8,0026*71
1106,1619169103.2796204,$GPGGA,130055.80,5523.66647693,N,01023.13869830,E,2,11,0.9,17.670,M,39.466,M,0.8,0026*71
1107,1619169103.6808352,$GPGGA,130055.80,5523.66647693,N,01023.13869830,E,2,11,0.9,17.670,M,39.466,M,0.8,0026*71
1108,1619169104.421219,$GPGGA,130055.80,5523.66647693,N,01023.13869830,E,2,11,0.9,17.670,M,39.466,M,0.8,0026*71
1109,1619169105.096736,$GPGGA,130055.80,5523.66647693,N,01023.13869830,E,2,11,0.9,17.670,M,39.466,M,0.8,0026*71
1110,1619169105.4384701,$GPGGA,130058.95,5523.66723829,N,01023.14191707,E,2,12,0.8,17.854,M,39.466,M,2.0,0026*76
1111,1619169105.9739447,$GPGGA,130058.95,5523.66723829,N,01023.14191707,E,2,12,0.8,17.854,M,39.466,M,2.0,0026*76
1112,1619169106.4403975,$GPGGA,130058.95,5523.66723829,N,01023.14191707,E,2,12,0.8,17.854,M,39.466,M,2.0,0026*76
1113,1619169107.0436585,$GPGGA,130058.95,5523.66723829,N,01023.14191707,E,2,12,0.8,17.854,M,39.466,M,2.0,0026*76
1114,1619169107.5181117,$GPGGA,130100.85,5523.66473813,N,01023.14368370,E,5,05,3.3,10.845,M,39.466,M,1.9,0026*70
1115,1619169108.1221125,$GPGGA,130100.85,5523.66473813,N,01023.14368370,E,5,05,3.3,10.845,M,39.466,M,1.9,0026*70
1116,1619169108.6615002,$GPGGA,130100.85,5523.66473813,N,01023.14368370,E,5,05,3.3,10.845,M,39.466,M,1.9,0026*70
1117,1619169109.2009597,$GPGGA,130100.85,5523.66473813,N,01023.14368370,E,5,05,3.3,10.845,M,39.466,M,1.9,0026*70
1118,1619169109.6741984,$GPGGA,130100.85,5523.66473813,N,01023.14368370,E,5,05,3.3,10.845,M,39.466,M,1.9,0026*70
1119,1619169110.5491138,$GPGGA,130103.80,5523.66530432,N,01023.14660390,E,5,05,3.3,11.747,M,39.466,M,0.8,0026*70
1120,1619169111.0828729,$GPGGA,130103.80,5523.66530432,N,01023.14660390,E,5,05,3.3,11.747,M,39.466,M,0.8,0026*70
1121,1619169111.6209106,$GPGGA,130105.15,5523.66568494,N,01023.14783672,E,5,05,3.3,11.769,M,39.466,M,2.2,0026*7A
1122,1619169111.959627,$GPGGA,130105.15,5523.66568494,N,01023.14783672,E,5,05,3.3,11.769,M,39.466,M,2.2,0026*7A
1123,1619169112.7003043,$GPGGA,130105.15,5523.66568494,N,01023.14783672,E,5,05,3.3,11.769,M,39.466,M,2.2,0026*7A
1124,1619169113.439612,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1125,1619169114.0431435,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1126,1619169114.5826223,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1127,1619169115.1228611,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1128,1619169115.9381824,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1129,1619169116.47259,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1130,1619169117.0037992,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1131,1619169117.4783008,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1132,1619169118.082341,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1133,1619169118.6211994,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1134,1619169119.0225475,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1135,1619169119.6990376,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1136,1619169120.0371277,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1137,1619169120.776479,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1138,1619169121.3157637,$GPGGA,130106.75,5523.66576536,N,01023.14919249,E,5,05,3.3,11.423,M,39.466,M,1.8,0026*7C
1139,1619169121.7826788,$GPGGA,130115.40,5523.66923622,N,01023.15713932,E,5,06,2.3,12.269,M,39.466,M,1.4,0026*75
1140,1619169122.3947372,$GPGGA,130115.40,5523.66923622,N,01023.15713932,E,5,06,2.3,12.269,M,39.466,M,1.4,0026*75
1141,1619169122.934269,$GPGGA,130115.40,5523.66923622,N,01023.15713932,E,5,06,2.3,12.269,M,39.466,M,1.4,0026*75
1142,1619169123.4643404,$GPGGA,130115.40,5523.66923622,N,01023.15713932,E,5,06,2.3,12.269,M,39.466,M,1.4,0026*75
1143,1619169124.0033195,$GPGGA,130115.40,5523.66923622,N,01023.15713932,E,5,06,2.3,12.269,M,39.466,M,1.4,0026*75
1144,1619169124.4772708,$GPGGA,130115.40,5523.66923622,N,01023.15713932,E,5,06,2.3,12.269,M,39.466,M,1.4,0026*75
1145,1619169125.0814164,$GPGGA,130115.40,5523.66923622,N,01023.15713932,E,5,06,2.3,12.269,M,39.466,M,1.4,0026*75
1146,1619169125.8938594,$GPGGA,130118.75,5523.67031075,N,01023.16025989,E,4,07,1.8,12.853,M,39.466,M,0.8,0026*76
1147,1619169126.4247234,$GPGGA,130118.75,5523.67031075,N,01023.16025989,E,4,07,1.8,12.853,M,39.466,M,0.8,0026*76
1148,1619169126.963862,$GPGGA,130120.50,5523.67099345,N,01023.16180070,E,4,06,1.9,12.778,M,39.466,M,1.5,0026*73
1149,1619169127.5031471,$GPGGA,130120.50,5523.67099345,N,01023.16180070,E,4,06,1.9,12.778,M,39.466,M,1.5,0026*73
1150,1619169128.0414984,$GPGGA,130120.50,5523.67099345,N,01023.16180070,E,4,06,1.9,12.778,M,39.466,M,1.5,0026*73
1151,1619169128.5807164,$GPGGA,130120.50,5523.67099345,N,01023.16180070,E,4,06,1.9,12.778,M,39.466,M,1.5,0026*73
1152,1619169129.1231961,$GPGGA,130120.50,5523.67099345,N,01023.16180070,E,4,06,1.9,12.778,M,39.466,M,1.5,0026*73
1153,1619169129.6587138,$GPGGA,130120.50,5523.67099345,N,01023.16180070,E,4,06,1.9,12.778,M,39.466,M,1.5,0026*73
1154,1619169130.199795,$GPGGA,130120.50,5523.67099345,N,01023.16180070,E,4,06,1.9,12.778,M,39.466,M,1.5,0026*73
1155,1619169130.738505,$GPGGA,130120.50,5523.67099345,N,01023.16180070,E,4,06,1.9,12.778,M,39.466,M,1.5,0026*73
1156,1619169131.2765214,$GPGGA,130120.50,5523.67099345,N,01023.16180070,E,4,06,1.9,12.778,M,39.466,M,1.5,0026*73
1157,1619169131.6781116,$GPGGA,130120.50,5523.67099345,N,01023.16180070,E,4,06,1.9,12.778,M,39.466,M,1.5,0026*73
1158,1619169132.3559535,$GPGGA,130120.50,5523.67099345,N,01023.16180070,E,4,06,1.9,12.778,M,39.466,M,1.5,0026*73
1159,1619169132.820294,$GPGGA,130120.50,5523.67099345,N,01023.16180070,E,4,06,1.9,12.778,M,39.466,M,1.5,0026*73
1160,1619169133.496655,$GPGGA,130126.70,5523.67360286,N,01023.16695655,E,4,06,2.2,12.875,M,39.466,M,1.7,0026*76
1161,1619169133.9628904,$GPGGA,130126.70,5523.67360286,N,01023.16695655,E,4,06,2.2,12.875,M,39.466,M,1.7,0026*76
1162,1619169134.5013857,$GPGGA,130126.70,5523.67360286,N,01023.16695655,E,4,06,2.2,12.875,M,39.466,M,1.7,0026*76
1163,1619169134.9764543,$GPGGA,130128.35,5523.67431668,N,01023.16818119,E,4,06,2.2,12.844,M,39.466,M,1.4,0026*7B
1164,1619169135.5799453,$GPGGA,130128.35,5523.67431668,N,01023.16818119,E,4,06,2.2,12.844,M,39.466,M,1.4,0026*7B
1165,1619169135.9817758,$GPGGA,130128.35,5523.67431668,N,01023.16818119,E,4,06,2.2,12.844,M,39.466,M,1.4,0026*7B
1166,1619169136.6584904,$GPGGA,130129.70,5523.67492742,N,01023.16916368,E,4,06,2.2,12.833,M,39.466,M,1.7,0026*73
1167,1619169137.1979342,$GPGGA,130129.70,5523.67492742,N,01023.16916368,E,4,06,2.2,12.833,M,39.466,M,1.7,0026*73
1168,1619169137.7355893,$GPGGA,130129.70,5523.67492742,N,01023.16916368,E,4,06,2.2,12.833,M,39.466,M,1.7,0026*73
1169,1619169138.2753649,$GPGGA,130131.95,5523.67600464,N,01023.17083371,E,4,06,2.2,12.845,M,39.466,M,0.9,0026*7D
1170,1619169138.6132157,$GPGGA,130131.95,5523.67600464,N,01023.17083371,E,4,06,2.2,12.845,M,39.466,M,0.9,0026*7D
1171,1619169139.3542066,$GPGGA,130131.95,5523.67600464,N,01023.17083371,E,4,06,2.2,12.845,M,39.466,M,0.9,0026*7D
1172,1619169139.8841205,$GPGGA,130131.95,5523.67600464,N,01023.17083371,E,4,06,2.2,12.845,M,39.466,M,0.9,0026*7D
1173,1619169140.423446,$GPGGA,130131.95,5523.67600464,N,01023.17083371,E,4,06,2.2,12.845,M,39.466,M,0.9,0026*7D
1174,1619169140.9632401,$GPGGA,130131.95,5523.67600464,N,01023.17083371,E,4,06,2.2,12.845,M,39.466,M,0.9,0026*7D
1175,1619169141.364158,$GPGGA,130131.95,5523.67600464,N,01023.17083371,E,4,06,2.2,12.845,M,39.466,M,0.9,0026*7D
